product_id,product_name,category,about_product,discounted_price,actual_price,rating,rating_count,img_link,product_link,short_name
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,high compatibility  compatible with iphone 12 11 xxsmaxxr iphone 88 plusiphone 77 plusiphone 6s6s plusiphone 66 plusiphone 55s5cseipad proipad air 12ipad mini 123ipod nano7ipod touch and more apple devicesfast chargedata sync  it can charge and sync simultaneously at a rapid speed compatible with any charging adaptor multiport charging station or power bankdurability  durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibilityhigh security level  it is designed to fully protect your device from damaging excessive currentcopper core thickmultilayer shielding antiinterference protective circuit equipmentwarranty 12 months warranty and friendly customer services ensures the longtime enjoyment of your purchase if you meet any question or problem please dont hesitate to contact us,399.0,1099.0,4.2,24269.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1,Wayona Nylon Braided USB to...
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,compatible with all type c enabled devices be it an android smartphone mi samsung oppo vivo realme oneplus etc tablet laptop macbook chromebook etcsupports quick charging 2030unbreakable  made of special braided outer with rugged interior bindings it is ultradurable cable that wont be affected by daily rough usageideal length  it has ideal length of 15 meters which is neither too short like your typical 1meter cable or too long like a 2meters cablesupports maximum 3a fast charging and 480 mbps data transfer speed6 months manufacturer warranty from the date of purchase,199.0,349.0,4.0,43994.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2,Ambrane Unbreakable 60W / 3A...
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,fast charger data syncwith builtin safety proctections and fourcore copper wires promote maximum signal quality and strength and enhance charging  data transfer speed with up to 480 mbs transferring speed compatibilitycompatible with iphone 13 1211 x 8 7 6 5 ipad air pro mini  ios devices sturdy  durablethe jacket and enforced connector made of tpe and premium copper are resistant to repeatedly bending and coiling ultra high quality according to the experimental results the fishbone design can accept at least 20000 bending and insertion tests for extra protection and durability upgraded 3d aluminum connector and exclusive laser welding technology which to ensure the metal part wont break and also have a tighter connection which fits well even with a protective case on and will never loose connection good after sales serviceour friendly and reliable customer service will respond to you within 24 hours  you can purchase with confidenceand every sale includes a 365day worryfree service to prove the importance we set on quality,199.0,1899.0,3.9,7928.0,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3,Sounce Fast Phone Charging Cable...
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,the boat deuce usb 300 2 in 1 cable is compatible with smartphones tablets pc peripherals bluetooth speakers power banks and all other devices with typec as well as micro usb portit ensures 3a fast charging and data transmissions with rapid sync at 480 mbpsthe premium nylon braided skin makes it sturdy and invincible against external damageits aluminium alloy shell housing makes it last longer with 10000 bends lifespan with extended frame protection for strain reliefthe resilient and flexible design offers a tangle free experience seamlesslydeuce usb 300 cable offers a perfect 15 meters in length for smooth  hasslefree user experience2 years warranty from the date of purchase,329.0,699.0,4.2,94363.0,https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4,boAt Deuce USB 300 2...
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,charge  sync function this cable comes with charging  data sync functionhigh quality material tpe  nylon material to make sure that the life of the cable is enhanced significantlylong cord the cable is extra thick 12 meter long optimized for an easy use for your comfort at home or officemore durablethis cable is unique interms of design and multiuse and is positioned to provide the best comfort and performance while usinguniversal compatibility compatible with all devices like iphone xs x xr 8 7 6s 6 5s ipad pro ipad mini and ipad air,154.0,399.0,4.2,16905.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5,Portronics Konnect L 1.2M Fast...
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,fast charging  data sync solero tb301 typec cable supports fast charge up to 5v3a for devices and data syncing speed up to 480mbpsuniversal compatibility this usb charging cable connects usb typec devices with standard usb devices like laptops hard drives power banks wall and car chargers etcconnector one reversible type cconnector two usb a typerough  tough typec cable charging cable with a doublebraided exterior premium aramid fiber core and metal plugs it has passed 10000 bending tests and can easily withstand daily useextended length 15meter long ctype cable uses nylon material to protect the wire and avoid knotsperfect fit connectors ptron soler usbc has passed the 5kg load test swing test 5000 times connect  disconnect to ensure that there are no loose connections,149.0,1000.0,3.9,24871.0,https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6,pTron Solero TB301 3A Type-C...
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,it ensures high speed transmission and charging by offering 3a fast charging and data transmissions with rapid sync at 480 mbpsthe braided skin makes it durable and invincible against external damage so you can have an absolute hasslefree  tangle free experienceits durable pvc housing and the flexible design makes it last 6 times longer than other cablesusb cable offers a perfect 15 meters in length for smooth  hasslefree user experience for superior charging  data transfer tasksthe compact and smooth aluminium connector fits most cases seamlessly and resists corrosion for signal puritymicro usb 55 cable offers universal compatibility as it is compatible with most android smartphones tablets pc peripherals bluetooth speakers power banks game consoles  all microusb enabled devices2 years warranty from the date of purchase,176.63,499.0,4.1,15188.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8,"boAt Micro USB 55 Tangle-free,..."
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1m long typec usb cablesturdy and durable with usb cable you can transfer data with speeds of upto 480 mbpsupto 3a output6months warrantysturdy and durable with usb cable you can transfer data with speeds of upto 480 mbps6months warrantyup to 3a output,229.0,299.0,4.3,30411.0,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9,MI Usb Type-C Cable Smartphone...
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,usb wifi adapter  speedy wireless transmission at up to 150mbps ideal for video streaming or internet callsmini design  sleek miniature design so small that once plugged in can be left in a laptops usb portadvanced security  supports 64128 wep wpa pa2wpapskwpa2psktkipaescompatibility  windows 11108187xp mac os 1015 and earlier linuxeasy setup  connect in no time with easy setup utility in 14 languagesin an unlikely case of product quality related issue we may ask you to reach out to brands customer service support and seek resolution we will require brand proof of issue to process replacement request,499.0,999.0,4.2,179691.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10,TP-Link USB WiFi Adapter for...
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,universal compatibility  it is compatible with all micro usb enabled devices be it an android smartphone tablet pc peripheral or any other micro usb compatible deviceunbreakable  made of special braided outer with rugged interior bindings it is ultradurable cable that wont be affected by daily rough usageideal length  it has ideal length of 15 meters which is neither too short like your typical 1meter cable or too long like a 2meters cablesupports maximum 3a fast charging and 480 mbps data transfer speed6 months manufacturer warranty from the date of purchase,199.0,299.0,4.0,43994.0,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11,Ambrane Unbreakable 60W / 3A...
